meals_served,kitchen_staff,temperature_C,humidity_percent,day_of_week,past_waste_kg,staff_experience,food_waste_kg,Day,Month,Year,DayOfWeek,IsWeekend,WeekOfYear,MonthStart,MonthEnd,special_event_1,waste_category_GRAINS,waste_category_MEAT,waste_category_VEGETABLES,Season_Spring,Season_Summer,Season_Winter,StaffPerMeal,ExperiencePerMeal,Temp_Humidity,PastWaste_3daysAvg,PastWaste_7daysAvg
-0.34219008700575093,-0.6756022118489332,1.3472432808321182,0.34697946816556663,5,45.44545503818065,0.0,39.90111001846277,1,1,2022,5,1,52,1,0,False,False,True,False,False,False,True,-0.06742076388085858,0.0,1.2956312216419892,-2.603947610958985,-3.693847790052053
-0.34219008700575093,-0.6756022118489332,1.394744243295043,0.34697946816556663,5,45.44545503818065,0.0,39.90111001846277,1,1,2022,5,1,52,1,0,False,False,True,False,False,False,True,-0.06742076388085858,0.0,1.333601161783511,-2.603947610958985,-3.693847790052053
0.14164281565625872,0.9615755780014994,-1.6925554840175507,-0.2715296701997027,6,29.89003869762672,0.0,53.20337458100168,2,1,2022,6,1,52,0,0,False,True,False,False,False,False,True,-0.35274311280134985,0.0,-1.3135971033924627,-2.603947610958985,-3.693847790052053
0.14164281565625872,0.9615755780014994,-1.6875319647772378,-0.2715296701997027,6,29.89003869762672,0.0,53.20337458100168,2,1,2022,6,1,52,0,0,False,True,False,False,False,False,True,-0.35274311280134985,0.0,-1.3102242808761673,-0.01868761783938904,-3.693847790052053
-0.011767616895110205,0.49381049518709,1.1419287620807352,0.22024776958191805,0,41.551615444565385,0.0,61.37539154422557,3,1,2022,0,0,1,0,0,False,False,False,True,False,False,True,-0.2842040577417463,0.0,1.0204538186304752,0.23987152390357977,-3.693847790052053
-0.011767616895110205,0.49381049518709,1.1781908396625913,0.22024776958191805,0,41.551615444565385,0.0,61.37539154422557,3,1,2022,0,0,1,0,0,False,False,False,True,False,False,True,-0.2842040577417463,0.0,1.0484893099507526,0.6572720179882019,-3.693847790052053
-0.33432288533645,-0.20783712903452392,-0.9080657732172852,0.7782057427036353,1,22.28191872759952,0.0,32.44114132276269,4,1,2022,1,0,1,0,0,False,False,True,False,False,False,True,0.21801238983532997,0.0,-0.3121212671830312,0.8161133703298561,-3.693847790052053
-0.33432288533645,-0.20783712903452392,-0.9114807845729338,0.7782057427036353,1,22.28191872759952,0.0,32.44114132276269,4,1,2022,1,0,1,0,0,False,False,True,False,False,False,True,0.21801238983532997,0.0,-0.3151556903077831,0.41255312036795205,0.36328085636836444
-0.40316089994283344,0.25992795377988537,1.4116240694003879,1.0145694486898253,2,34.98205376655673,0.0,33.040577710116835,5,1,2022,2,0,1,0,0,False,False,False,False,False,False,True,0.9482600562061674,0.0,1.9693687875765715,-0.14984848193560654,0.2746283271477293
-0.40316089994283344,0.25992795377988537,1.4501351044690127,1.0145694486898253,2,34.98205376655673,0.0,33.040577710116835,5,1,2022,2,0,1,0,0,False,False,False,False,False,False,True,0.9482600562061674,0.0,2.005470898466801,-0.7005987028435287,0.19309936023861526
-0.1730452511157801,-1.611132377477752,-1.7015092877119857,1.1448183474721998,3,49.4975989125124,0.0,53.115492559605926,6,1,2022,3,0,1,0,0,False,False,True,False,False,False,True,-0.9451040116435031,0.0,-0.9115035147353926,-0.688947321447893,-0.046510618258501675
